Vds	Id(M1)
Step Information: Vgs=2  (Step: 1/6)
1.180000000000000e+01	2.841118e+00
1.190000000000000e+01	2.842099e+00
1.200000000000000e+01	2.843079e+00
1.210000000000000e+01	2.844060e+00
1.220000000000000e+01	2.845040e+00
1.230000000000000e+01	2.846021e+00
1.240000000000000e+01	2.847001e+00
1.250000000000000e+01	2.847981e+00
1.260000000000000e+01	2.848961e+00
1.270000000000000e+01	2.849941e+00
1.280000000000000e+01	2.850920e+00
1.290000000000000e+01	2.851900e+00
1.300000000000000e+01	2.852879e+00
1.310000000000000e+01	2.853859e+00
1.320000000000000e+01	2.854838e+00
1.330000000000000e+01	2.855817e+00
1.340000000000000e+01	2.856796e+00
1.350000000000000e+01	2.857775e+00
1.360000000000000e+01	2.858753e+00
1.370000000000000e+01	2.859732e+00
1.380000000000000e+01	2.860711e+00
1.390000000000000e+01	2.861689e+00
1.400000000000000e+01	2.862667e+00
1.410000000000000e+01	2.863645e+00
1.420000000000000e+01	2.864623e+00
1.430000000000000e+01	2.865601e+00
1.440000000000000e+01	2.866579e+00
1.450000000000000e+01	2.867557e+00
1.460000000000000e+01	2.868534e+00
1.470000000000000e+01	2.869512e+00
1.480000000000000e+01	2.870489e+00
1.490000000000000e+01	2.871466e+00
1.500000000000000e+01	2.872443e+00
1.510000000000000e+01	2.873420e+00
1.520000000000000e+01	2.874397e+00
1.530000000000000e+01	2.875373e+00
1.540000000000000e+01	2.876350e+00
1.550000000000000e+01	2.877326e+00
1.560000000000000e+01	2.878303e+00
1.570000000000000e+01	2.879279e+00
1.580000000000000e+01	2.880255e+00
1.590000000000000e+01	2.881231e+00
1.600000000000000e+01	2.882207e+00
1.610000000000000e+01	2.883183e+00
1.620000000000000e+01	2.884158e+00
1.630000000000000e+01	2.885134e+00
1.640000000000000e+01	2.886109e+00
1.650000000000000e+01	2.887084e+00
1.660000000000000e+01	2.888059e+00
1.670000000000000e+01	2.889034e+00
1.680000000000000e+01	2.890009e+00
1.690000000000000e+01	2.890984e+00
1.700000000000000e+01	2.891959e+00
1.710000000000000e+01	2.892933e+00
1.720000000000000e+01	2.893908e+00
1.730000000000000e+01	2.894882e+00
1.740000000000000e+01	2.895856e+00
1.750000000000000e+01	2.896830e+00
1.760000000000000e+01	2.897804e+00
1.770000000000000e+01	2.898778e+00
1.780000000000000e+01	2.899751e+00
1.790000000000000e+01	2.900725e+00
1.800000000000000e+01	2.901698e+00
1.810000000000000e+01	2.902672e+00
1.820000000000000e+01	2.903645e+00
